2023-06-15 11:39:18,652 - root - INFO - Using 1 CUDA cores [NVIDIA GeForce RTX 2080 Ti] for training!
2023-06-15 11:39:18,654 - root - INFO - {'dataset_dir': './dataset/GraspPose', 'work_dir': '/cluster/scratch/yaqqin/FullBodyGraspGen/results/dim16_heads2_depth2_test/GraspPose', 'vpe_path': '/configs/verts_per_edge.npy', 'c_weights_path': '/cluster/scratch/yaqqin/FullBodyGraspGen/WholeGraspPose/configs/rhand_weight.npy', 'exp_name': 'dim16_heads2_depth2_test', 'gender': 'male', 'best_net': '/cluster/scratch/yaqqin/FullBodyGraspGen/pretrained_model/male_grasppose_model.pt', 'trained_diffusion': '/cluster/scratch/yaqqin/FullBodyGraspGen/pretrained_model/diffusion_model.pt', 'sample_label': 3, 'latentD': 16, 'base_lr': 0.0005, 'batch_size': 128, 'bps_size': 4096, 'cuda_id': 0, 'kl_coef': 0.005, 'log_every_epoch': 1, 'n_epochs': 100, 'n_markers': 512, 'n_neurons': 512, 'n_workers': 8, 'reg_coef': 0.0005, 'seed': 4815, 'try_num': 0, 'use_multigpu': False, 'load_on_ram': False, 'cond_object_height': True, 'motion_intent': False, 'object_class': ['all'], 'robustkl': False, 'kl_annealing': True, 'kl_annealing_epoch': 100, 'marker_weight': 1, 'foot_weight': 0, 'collision_weight': 0, 'consistency_weight': 1, 'dropout': 0.1, 'obj_feature': 12, 'pointnet_hc': 64, 'continue_train': False, 'data_representation': 'markers_143', 'learn_logvar': False, 'diffusion_base_lr': 0.0003, 'use_pretrained': 'pretrained_model/male_grasppose_model.pt', 'pretrained_adaptor': 'male-mapper_net_params.pt', 'train_1_stage': False, 'train_2_stage': True, 'diffusion_min_lr': 1e-06, 'diffusion_lr_scheduler_restart_scale_factor': 1, 'diffusion_lr_scheduler_cycle': 20, 'default_cfg': {'base_lr': 0.0005, 'batch_size': 128, 'best_net': '/cluster/scratch/yaqqin/FullBodyGraspGen/pretrained_model/male_grasppose_model.pt', 'bps_size': 4096, 'c_weights_path': '/cluster/scratch/yaqqin/FullBodyGraspGen/WholeGraspPose/configs/rhand_weight.npy', 'cuda_id': 0, 'dataset_dir': './dataset/GraspPose', 'kl_coef': 0.005, 'latentD': 16, 'log_every_epoch': 1, 'n_epochs': 100, 'n_markers': 512, 'n_neurons': 512, 'n_workers': 8, 'reg_coef': 0.0005, 'seed': 4815, 'try_num': 0, 'use_multigpu': False, 'vpe_path': '/configs/verts_per_edge.npy', 'work_dir': '/cluster/scratch/yaqqin/FullBodyGraspGen/results/dim16_heads2_depth2_test/GraspPose', 'load_on_ram': False, 'cond_object_height': True, 'motion_intent': False, 'object_class': ['all'], 'robustkl': False, 'kl_annealing': True, 'kl_annealing_epoch': 100, 'marker_weight': 1, 'foot_weight': 0, 'collision_weight': 0, 'consistency_weight': 1, 'dropout': 0.1, 'obj_feature': 12, 'pointnet_hc': 64, 'continue_train': False, 'data_representation': 'markers_143', 'learn_logvar': False, 'diffusion_base_lr': 0.0003, 'use_pretrained': 'pretrained_model/male_grasppose_model.pt', 'pretrained_adaptor': 'male-mapper_net_params.pt', 'train_1_stage': False, 'train_2_stage': True, 'diffusion_min_lr': 1e-06, 'diffusion_lr_scheduler_restart_scale_factor': 1, 'diffusion_lr_scheduler_cycle': 20, 'exp_name': 'dim16_heads2_depth2_test', 'gender': 'male', 'trained_diffusion': '/cluster/scratch/yaqqin/FullBodyGraspGen/pretrained_model/diffusion_model.pt', 'sample_label': 3}}
2023-06-15 11:39:33,186 - root - INFO - Dataset Test size: 24.37 K
2023-06-15 11:39:41,573 - root - INFO - Total Trainable Parameters for ContactNet is 7.64 M.
2023-06-15 11:39:41,896 - root - INFO - Restored ContactNet model from /cluster/scratch/yaqqin/FullBodyGraspGen/pretrained_model/male_grasppose_model.pt
2023-06-15 11:39:41,896 - root - INFO - Restored Diiffusion model from /cluster/scratch/yaqqin/FullBodyGraspGen/pretrained_model/diffusion_model.pt
2023-06-15 11:42:32,401 - root - INFO - Save [stage2] iter=321, loss:total: 0.0224 |  rec: 0.0108 |  body_rec: 0.0114 |  marker contact: 0.0004 |  object contact: 0.0002 |  prior contact: 0.0010 |  hand collision: 0.0001 |  object collision: 0.0001 |  foot: 0.0043 |  reg: 0.0002 | , verts_info:hand colli: 4 |  obj colli: 3 |  contact: 5 |  hand markers colli: 0 | 
2023-06-15 11:44:15,917 - root - INFO - Save [stage2] iter=312, loss:total: 0.0358 |  rec: 0.0127 |  body_rec: 0.0119 |  marker contact: 0.0001 |  object contact: 0.0003 |  prior contact: 0.0010 |  hand collision: 0.0002 |  object collision: 0.0014 |  foot: 0.0039 |  reg: 0.0002 | , verts_info:hand colli: 7 |  obj colli: 28 |  contact: 0 |  hand markers colli: 0 | 
2023-06-15 11:46:05,351 - root - INFO - Save [stage2] iter=290, loss:total: 0.0475 |  rec: 0.0140 |  body_rec: 0.0111 |  marker contact: 0.0002 |  object contact: 0.0007 |  prior contact: 0.0007 |  hand collision: 0.0006 |  object collision: 0.0014 |  foot: 0.0022 |  reg: 0.0001 | , verts_info:hand colli: 19 |  obj colli: 36 |  contact: 3 |  hand markers colli: 0 | 
2023-06-15 11:47:49,533 - root - INFO - Save [stage2] iter=494, loss:total: 0.0428 |  rec: 0.0143 |  body_rec: 0.0116 |  marker contact: 0.0000 |  object contact: 0.0005 |  prior contact: 0.0009 |  hand collision: 0.0007 |  object collision: 0.0014 |  foot: 0.0026 |  reg: 0.0002 | , verts_info:hand colli: 23 |  obj colli: 49 |  contact: 10 |  hand markers colli: 0 | 
2023-06-15 11:49:33,988 - root - INFO - Save [stage2] iter=450, loss:total: 0.0271 |  rec: 0.0064 |  body_rec: 0.0081 |  marker contact: 0.0001 |  object contact: 0.0002 |  prior contact: 0.0010 |  hand collision: 0.0003 |  object collision: 0.0012 |  foot: 0.0023 |  reg: 0.0002 | , verts_info:hand colli: 12 |  obj colli: 30 |  contact: 4 |  hand markers colli: 0 | 
2023-06-15 11:51:22,078 - root - INFO - Save [stage2] iter=496, loss:total: 0.0223 |  rec: 0.0056 |  body_rec: 0.0064 |  marker contact: 0.0001 |  object contact: 0.0001 |  prior contact: 0.0008 |  hand collision: 0.0005 |  object collision: 0.0008 |  foot: 0.0007 |  reg: 0.0002 | , verts_info:hand colli: 13 |  obj colli: 29 |  contact: 3 |  hand markers colli: 0 | 
2023-06-15 11:53:07,140 - root - INFO - Save [stage2] iter=495, loss:total: 0.0176 |  rec: 0.0052 |  body_rec: 0.0049 |  marker contact: 0.0001 |  object contact: 0.0001 |  prior contact: 0.0015 |  hand collision: 0.0001 |  object collision: 0.0008 |  foot: 0.0008 |  reg: 0.0002 | , verts_info:hand colli: 5 |  obj colli: 23 |  contact: 1 |  hand markers colli: 0 | 
2023-06-15 11:54:53,604 - root - INFO - Save [stage2] iter=433, loss:total: 0.0285 |  rec: 0.0037 |  body_rec: 0.0052 |  marker contact: 0.0002 |  object contact: 0.0002 |  prior contact: 0.0009 |  hand collision: 0.0004 |  object collision: 0.0015 |  foot: 0.0011 |  reg: 0.0002 | , verts_info:hand colli: 16 |  obj colli: 40 |  contact: 4 |  hand markers colli: 0 | 
2023-06-15 11:56:38,614 - root - INFO - Save [stage2] iter=406, loss:total: 0.0174 |  rec: 0.0063 |  body_rec: 0.0070 |  marker contact: 0.0001 |  object contact: 0.0003 |  prior contact: 0.0008 |  hand collision: 0.0004 |  object collision: 0.0001 |  foot: 0.0017 |  reg: 0.0001 | , verts_info:hand colli: 14 |  obj colli: 5 |  contact: 3 |  hand markers colli: 0 | 
2023-06-15 11:58:22,741 - root - INFO - Save [stage2] iter=425, loss:total: 0.0176 |  rec: 0.0032 |  body_rec: 0.0042 |  marker contact: 0.0001 |  object contact: 0.0002 |  prior contact: 0.0009 |  hand collision: 0.0005 |  object collision: 0.0004 |  foot: 0.0015 |  reg: 0.0001 | , verts_info:hand colli: 18 |  obj colli: 18 |  contact: 7 |  hand markers colli: 0 | 
2023-06-15 12:00:04,679 - root - INFO - Save [stage2] iter=239, loss:total: 0.0146 |  rec: 0.0034 |  body_rec: 0.0034 |  marker contact: 0.0000 |  object contact: 0.0003 |  prior contact: 0.0008 |  hand collision: 0.0004 |  object collision: 0.0002 |  foot: 0.0014 |  reg: 0.0001 | , verts_info:hand colli: 14 |  obj colli: 12 |  contact: 4 |  hand markers colli: 0 | 
