2023-06-15 06:09:42,965 - root - INFO - Using 1 CUDA cores [NVIDIA GeForce RTX 2080 Ti] for training!
2023-06-15 06:09:42,966 - root - INFO - {'dataset_dir': './dataset/GraspPose', 'work_dir': '/cluster/scratch/yaqqin/FullBodyGraspGen/results/dim16_heads2_depth2_test/GraspPose', 'vpe_path': '/configs/verts_per_edge.npy', 'c_weights_path': '/cluster/scratch/yaqqin/FullBodyGraspGen/WholeGraspPose/configs/rhand_weight.npy', 'exp_name': 'dim16_heads2_depth2_test', 'gender': 'male', 'best_net': '/cluster/scratch/yaqqin/FullBodyGraspGen/pretrained_model/male_grasppose_model.pt', 'trained_diffusion': '/cluster/scratch/yaqqin/FullBodyGraspGen/pretrained_model/diffusion_model.pt', 'sample_label': 10, 'latentD': 16, 'base_lr': 0.0005, 'batch_size': 128, 'bps_size': 4096, 'cuda_id': 0, 'kl_coef': 0.005, 'log_every_epoch': 1, 'n_epochs': 100, 'n_markers': 512, 'n_neurons': 512, 'n_workers': 8, 'reg_coef': 0.0005, 'seed': 4815, 'try_num': 0, 'use_multigpu': False, 'load_on_ram': False, 'cond_object_height': True, 'motion_intent': False, 'object_class': ['all'], 'robustkl': False, 'kl_annealing': True, 'kl_annealing_epoch': 100, 'marker_weight': 1, 'foot_weight': 0, 'collision_weight': 0, 'consistency_weight': 1, 'dropout': 0.1, 'obj_feature': 12, 'pointnet_hc': 64, 'continue_train': False, 'data_representation': 'markers_143', 'learn_logvar': False, 'diffusion_base_lr': 0.0003, 'use_pretrained': 'pretrained_model/male_grasppose_model.pt', 'pretrained_adaptor': 'male-mapper_net_params.pt', 'train_1_stage': False, 'train_2_stage': True, 'diffusion_min_lr': 1e-06, 'diffusion_lr_scheduler_restart_scale_factor': 1, 'diffusion_lr_scheduler_cycle': 20, 'default_cfg': {'base_lr': 0.0005, 'batch_size': 128, 'best_net': '/cluster/scratch/yaqqin/FullBodyGraspGen/pretrained_model/male_grasppose_model.pt', 'bps_size': 4096, 'c_weights_path': '/cluster/scratch/yaqqin/FullBodyGraspGen/WholeGraspPose/configs/rhand_weight.npy', 'cuda_id': 0, 'dataset_dir': './dataset/GraspPose', 'kl_coef': 0.005, 'latentD': 16, 'log_every_epoch': 1, 'n_epochs': 100, 'n_markers': 512, 'n_neurons': 512, 'n_workers': 8, 'reg_coef': 0.0005, 'seed': 4815, 'try_num': 0, 'use_multigpu': False, 'vpe_path': '/configs/verts_per_edge.npy', 'work_dir': '/cluster/scratch/yaqqin/FullBodyGraspGen/results/dim16_heads2_depth2_test/GraspPose', 'load_on_ram': False, 'cond_object_height': True, 'motion_intent': False, 'object_class': ['all'], 'robustkl': False, 'kl_annealing': True, 'kl_annealing_epoch': 100, 'marker_weight': 1, 'foot_weight': 0, 'collision_weight': 0, 'consistency_weight': 1, 'dropout': 0.1, 'obj_feature': 12, 'pointnet_hc': 64, 'continue_train': False, 'data_representation': 'markers_143', 'learn_logvar': False, 'diffusion_base_lr': 0.0003, 'use_pretrained': 'pretrained_model/male_grasppose_model.pt', 'pretrained_adaptor': 'male-mapper_net_params.pt', 'train_1_stage': False, 'train_2_stage': True, 'diffusion_min_lr': 1e-06, 'diffusion_lr_scheduler_restart_scale_factor': 1, 'diffusion_lr_scheduler_cycle': 20, 'exp_name': 'dim16_heads2_depth2_test', 'gender': 'male', 'trained_diffusion': '/cluster/scratch/yaqqin/FullBodyGraspGen/pretrained_model/diffusion_model.pt', 'sample_label': 10}}
2023-06-15 06:09:59,174 - root - INFO - Dataset Test size: 24.37 K
2023-06-15 06:10:01,605 - root - INFO - Total Trainable Parameters for ContactNet is 7.64 M.
2023-06-15 06:10:02,376 - root - INFO - Restored ContactNet model from /cluster/scratch/yaqqin/FullBodyGraspGen/pretrained_model/male_grasppose_model.pt
2023-06-15 06:10:02,376 - root - INFO - Restored Diiffusion model from /cluster/scratch/yaqqin/FullBodyGraspGen/pretrained_model/diffusion_model.pt
2023-06-15 06:12:30,306 - root - INFO - Save [stage2] iter=481, loss:total: 0.0310 |  rec: 0.0115 |  body_rec: 0.0153 |  marker contact: 0.0004 |  object contact: 0.0004 |  prior contact: 0.0008 |  hand collision: 0.0004 |  object collision: 0.0002 |  foot: 0.0016 |  reg: 0.0002 | , verts_info:hand colli: 12 |  obj colli: 11 |  contact: 7 |  hand markers colli: 0 | 
2023-06-15 06:13:59,764 - root - INFO - Save [stage2] iter=458, loss:total: 0.0515 |  rec: 0.0082 |  body_rec: 0.0102 |  marker contact: 0.0005 |  object contact: 0.0004 |  prior contact: 0.0012 |  hand collision: 0.0006 |  object collision: 0.0024 |  foot: 0.0031 |  reg: 0.0002 | , verts_info:hand colli: 16 |  obj colli: 59 |  contact: 6 |  hand markers colli: 0 | 
2023-06-15 06:15:41,894 - root - INFO - Save [stage2] iter=299, loss:total: 0.0257 |  rec: 0.0096 |  body_rec: 0.0091 |  marker contact: 0.0006 |  object contact: 0.0004 |  prior contact: 0.0009 |  hand collision: 0.0000 |  object collision: 0.0001 |  foot: 0.0030 |  reg: 0.0002 | , verts_info:hand colli: 1 |  obj colli: 5 |  contact: 1 |  hand markers colli: 0 | 
2023-06-15 06:17:07,974 - root - INFO - Save [stage2] iter=471, loss:total: 0.0496 |  rec: 0.0062 |  body_rec: 0.0077 |  marker contact: 0.0003 |  object contact: 0.0004 |  prior contact: 0.0010 |  hand collision: 0.0011 |  object collision: 0.0023 |  foot: 0.0029 |  reg: 0.0002 | , verts_info:hand colli: 34 |  obj colli: 64 |  contact: 4 |  hand markers colli: 0 | 
2023-06-15 06:18:34,514 - root - INFO - Save [stage2] iter=444, loss:total: 0.0527 |  rec: 0.0088 |  body_rec: 0.0090 |  marker contact: 0.0004 |  object contact: 0.0008 |  prior contact: 0.0009 |  hand collision: 0.0006 |  object collision: 0.0021 |  foot: 0.0016 |  reg: 0.0002 | , verts_info:hand colli: 22 |  obj colli: 60 |  contact: 7 |  hand markers colli: 0 | 
2023-06-15 06:20:00,796 - root - INFO - Save [stage2] iter=496, loss:total: 0.0213 |  rec: 0.0067 |  body_rec: 0.0068 |  marker contact: 0.0003 |  object contact: 0.0002 |  prior contact: 0.0006 |  hand collision: 0.0006 |  object collision: 0.0001 |  foot: 0.0015 |  reg: 0.0002 | , verts_info:hand colli: 17 |  obj colli: 5 |  contact: 4 |  hand markers colli: 0 | 
2023-06-15 06:21:35,878 - root - INFO - Save [stage2] iter=489, loss:total: 0.0250 |  rec: 0.0081 |  body_rec: 0.0057 |  marker contact: 0.0002 |  object contact: 0.0009 |  prior contact: 0.0009 |  hand collision: 0.0000 |  object collision: 0.0000 |  foot: 0.0017 |  reg: 0.0001 | , verts_info:hand colli: 1 |  obj colli: 2 |  contact: 2 |  hand markers colli: 0 | 
2023-06-15 06:23:07,150 - root - INFO - Save [stage2] iter=390, loss:total: 0.0372 |  rec: 0.0064 |  body_rec: 0.0065 |  marker contact: 0.0004 |  object contact: 0.0003 |  prior contact: 0.0008 |  hand collision: 0.0010 |  object collision: 0.0009 |  foot: 0.0013 |  reg: 0.0001 | , verts_info:hand colli: 30 |  obj colli: 30 |  contact: 7 |  hand markers colli: 0 | 
2023-06-15 06:24:38,411 - root - INFO - Save [stage2] iter=490, loss:total: 0.0305 |  rec: 0.0042 |  body_rec: 0.0059 |  marker contact: 0.0001 |  object contact: 0.0002 |  prior contact: 0.0006 |  hand collision: 0.0013 |  object collision: 0.0008 |  foot: 0.0012 |  reg: 0.0001 | , verts_info:hand colli: 41 |  obj colli: 31 |  contact: 5 |  hand markers colli: 0 | 
2023-06-15 06:26:08,455 - root - INFO - Save [stage2] iter=439, loss:total: 0.0308 |  rec: 0.0035 |  body_rec: 0.0049 |  marker contact: 0.0002 |  object contact: 0.0003 |  prior contact: 0.0008 |  hand collision: 0.0007 |  object collision: 0.0012 |  foot: 0.0007 |  reg: 0.0001 | , verts_info:hand colli: 23 |  obj colli: 35 |  contact: 2 |  hand markers colli: 0 | 
2023-06-15 06:27:37,150 - root - INFO - Save [stage2] iter=327, loss:total: 0.0201 |  rec: 0.0035 |  body_rec: 0.0042 |  marker contact: 0.0003 |  object contact: 0.0003 |  prior contact: 0.0009 |  hand collision: 0.0003 |  object collision: 0.0005 |  foot: 0.0006 |  reg: 0.0001 | , verts_info:hand colli: 12 |  obj colli: 19 |  contact: 4 |  hand markers colli: 0 | 
